61982CJ0235(01),Judgment of the Court (Fifth Chamber) of 11 June 1986,Fifth Chamber,  Ferriere San Carlo SpA v Commission of the European Communities,Check EUR-LEX webpage,Check EUR-LEX webpage,  Case 235/82 rév,ECLI identifier: ECLI:EU:C:1986:237,19/11/1985,11/06/1986,Italy,Galmot,Mancini,CECA
61985CJ0081,Judgment of the Court (Second Chamber) of 10 June 1986,Second Chamber,  Union sidérurgique du nord et de l'est de la France (Usinor) v Commission of the European Communities,Check EUR-LEX webpage,Check EUR-LEX webpage,  Joined cases 81/85 and 119/85,ECLI identifier: ECLI:EU:C:1986:234,01/04/1985,10/06/1986,France,Schockweiler,Lenz,CECA
61985CJ0025,Judgment of the Court (Fifth Chamber) of 6 May 1986,Fifth Chamber,  Nuovo Campsider v Commission of the European Communities,Check EUR-LEX webpage,Check EUR-LEX webpage,  Case 25/85,ECLI identifier: ECLI:EU:C:1986:195,29/01/1985,06/05/1986,Italy,Joliet,Darmon,CECA
61984CJ0204,Judgment of the Court (First Chamber) of 23 April 1986,First Chamber,  SpA Sideradria industria metallurgica v Commission of the European Communities,Check EUR-LEX webpage,Check EUR-LEX webpage,  Case 204/84,ECLI identifier: ECLI:EU:C:1986:169,13/08/1984,23/04/1986,Italy,Joliet,Mancini,CECA
61984CJ0067,Judgment of the Court (First Chamber) of 12 December 1985,First Chamber,  Sideradria SpA v Commission of the European Communities,Check EUR-LEX webpage,Check EUR-LEX webpage,  Case 67/84,ECLI identifier: ECLI:EU:C:1985:506,13/03/1984,12/12/1985,Italy,Joliet,Mancini,CECA
61985CJ0042,Judgment of the Court (Fifth Chamber) of 26 November 1985,Fifth Chamber,  Cockerill - Sambre SA v Commission of the European Communities,Check EUR-LEX webpage,Check EUR-LEX webpage,  Case 42/85,ECLI identifier: ECLI:EU:C:1985:471,14/02/1985,26/11/1985,Belgium,Due,Darmon,CECA
61983CJ0183,Judgment of the Court (Fifth Chamber) of 12 November 1985,Fifth Chamber,  Krupp Stahl AG v Commission of the European Communities,Check EUR-LEX webpage,Check EUR-LEX webpage,  Case 183/83,ECLI identifier: ECLI:EU:C:1985:453,26/08/1983,12/11/1985,Germany,Kakouris,Mancini,CECA
61984CJ0239,Judgment of the Court (Third Chamber) of 24 October 1985,Third Chamber,  Gerlach & Co,Check EUR-LEX webpage,Check EUR-LEX webpage,  Case 239/84,ECLI identifier: ECLI:EU:C:1985:443,26/09/1984,24/10/1985,Netherlands,Galmot,VerLoren van Themaat,CECA
61983CJ0211,Judgment of the Court of 15 October 1985,,  Krupp Stahl AG and Thyssen Stahl AG v Commission of the European Communities,Check EUR-LEX webpage,Check EUR-LEX webpage,  Joined cases 211 and 212/83; 77 and 78/84,ECLI identifier: ECLI:EU:C:1985:406,20/09/1983,15/10/1985,Germany,Koopmans,Darmon,CECA
61983CJ0214,Judgment of the Court of 3 October 1985,,  Federal Republic of Germany v Commission of the European Communities,Check EUR-LEX webpage,Check EUR-LEX webpage,  Case 214/83,ECLI identifier: ECLI:EU:C:1985:385,22/09/1983,03/10/1985,Germany,Koopmans,VerLoren van Themaat,CECA
61983CJ0172,Judgment of the Court of 19 September 1985,,  Hoogovens Groep BV v Commission of the European Communities,Check EUR-LEX webpage,Check EUR-LEX webpage,  Joined cases 172 and 226/83,ECLI identifier: ECLI:EU:C:1985:355,08/08/1983,19/09/1985,Netherlands,Galmot,Sir Gordon Slynn,CECA
61984CJ0063,Judgment of the Court of 19 September 1985,,  Finsider v Commission of the European Communities,Check EUR-LEX webpage,Check EUR-LEX webpage,  Joined cases 63 and 147/84,ECLI identifier: ECLI:EU:C:1985:358,07/03/1984,19/09/1985,Italy,Due,Lenz,CECA
61984CJ0027,Judgment of the Court (Fourth Chamber) of 10 July 1985,Fourth Chamber,  Wirtschaftsvereinigung Eisen- und Stahlindustrie v Commission of the European Communities,Check EUR-LEX webpage,Check EUR-LEX webpage,  Case 27/84,ECLI identifier: ECLI:EU:C:1985:311,25/01/1984,10/07/1985,Germany,Koopmans,Darmon,CECA
