62001CJ0165,Judgment of the Court of 10 July 2003,,  Betriebsrat der Vertretung der Europäischen Kommission in Österreich v Europäische Gemeinschaften; Kommission der Europäischen Gemeinschaften,  Reference for a preliminary ruling: Oberster Gerichtshof - Austria,  Staff Regulations of Officials of the European Communities - Conditions of Employment of Other Servants - Local staff - Representation of the Commission in Austria - Applicability of national legislation concerning the representation of workers and defence of their interests,  Case C-165/01,ECLI identifier: ECLI:EU:C:2003:401,18/04/2001,10/07/2003,Austria,Schintgen,Geelhoed,STAT
62001CJ0121,Judgment of the Court (Second Chamber) of 5 June 2003,Second Chamber,  Eoghan O'Hannrachain v European Parliament,Check EUR-LEX webpage,Check EUR-LEX webpage,  Case C-121/01 P,ECLI identifier: ECLI:EU:C:2003:323,15/03/2001,05/06/2003,,Colneric,Geelhoed,STAT
62001CJ0217,Judgment of the Court (Sixth Chamber) of 10 April 2003,Sixth Chamber,  Michel Hendrickx v European Centre for the Development of Vocational Training (Cedefop),Check EUR-LEX webpage,Check EUR-LEX webpage,  Case C-217/01 P,ECLI identifier: ECLI:EU:C:2003:226,25/05/2001,10/04/2003,,Colneric,Tizzano,STAT
62001CJ0277,Judgment of the Court (Fifth Chamber) of 3 April 2003,Fifth Chamber,  European Parliament v Ignacio Samper,Check EUR-LEX webpage,Check EUR-LEX webpage,  Case C-277/01 P,ECLI identifier: ECLI:EU:C:2003:196,13/07/2001,03/04/2003,,von Bahr,Geelhoed,STAT
62001CJ0184,Judgment of the Court (Fourth Chamber) of 7 November 2002,Fourth Chamber,  Peter Hirschfeldt v European Environment Agency (EEA),Check EUR-LEX webpage,Check EUR-LEX webpage,  Case C-184/01 P,ECLI identifier: ECLI:EU:C:2002:645,26/04/2001,07/11/2002,,Timmermans,Jacobs,STAT
62000CJ0274,Judgment of the Court (Sixth Chamber) of 27 June 2002,Sixth Chamber,  Odette Simon v Commission of the European Communities,Check EUR-LEX webpage,Check EUR-LEX webpage,  Case C-274/00 P,ECLI identifier: ECLI:EU:C:2002:401,10/07/2000,27/06/2002,,Colneric,Jacobs,STAT
62001CJ0062,Judgment of the Court (Third Chamber) of 23 April 2002,Third Chamber,  Anna Maria Campogrande v Commission of the European Communities,Check EUR-LEX webpage,Check EUR-LEX webpage,  Case C-62/01 P,ECLI identifier: ECLI:EU:C:2002:248,09/02/2001,23/04/2002,,Puissochet,Mischo,STAT
62000CJ0171,Judgment of the Court (Fifth Chamber) of 15 January 2002,Fifth Chamber,  Alain Libéros v Commission of the European Communities,Check EUR-LEX webpage,Check EUR-LEX webpage,  Case C-171/00 P,ECLI identifier: ECLI:EU:C:2002:17,10/05/2000,15/01/2002,,Timmermans,Stix-Hackl,STAT
62000CJ0340,Judgment of the Court of 13 December 2001,,  Commission of the European Communities v Michael Cwik,Check EUR-LEX webpage,Check EUR-LEX webpage,  Case C-340/00 P,ECLI identifier: ECLI:EU:C:2001:701,15/09/2000,13/12/2001,,Wathelet,Ruiz-Jarabo Colomer,STAT
62000CJ0446,Judgment of the Court (Third Chamber) of 13 December 2001,Third Chamber,  Pascual Juan Cubero Vermurie v Commission of the European Communities,Check EUR-LEX webpage,Check EUR-LEX webpage,  Case C-446/00 P,ECLI identifier: ECLI:EU:C:2001:703,01/12/2000,13/12/2001,,Cunha Rodrigues,Stix-Hackl,STAT
61999CJ0270,Judgment of the Court (Sixth Chamber) of 27 November 2001,Sixth Chamber,  Z v European Parliament,Check EUR-LEX webpage,Check EUR-LEX webpage,  Case C-270/99 P,ECLI identifier: ECLI:EU:C:2001:639,19/07/1999,27/11/2001,,Skouris,,STAT
61999CJ0449,Judgment of the Court (Sixth Chamber) of 2 October 2001,Sixth Chamber,  European Investment Bank v Michel Hautem,Check EUR-LEX webpage,Check EUR-LEX webpage,  Case C-449/99 P,ECLI identifier: ECLI:EU:C:2001:502,26/11/1999,02/10/2001,,Skouris,Geelhoed,STAT
61999CJ0122,Judgment of the Court of 31 May 2001,,  D and Kingdom of Sweden v Council of the European Union,Check EUR-LEX webpage,Check EUR-LEX webpage,  Joined cases C-122/99 P and C-125/99 P,ECLI identifier: ECLI:EU:C:2001:304,13/04/1999,31/05/2001,,Puissochet,,STAT
61999CJ0274,Judgment of the Court of 6 March 2001,,  Bernard Connolly v Commission of the European Communities,Check EUR-LEX webpage,Check EUR-LEX webpage,  Case C-274/99 P,ECLI identifier: ECLI:EU:C:2001:127,20/07/1999,06/03/2001,,Wathelet,Ruiz-Jarabo Colomer,STAT
